quincy_acy   Oct 6 1990
jeff_adrien   Feb 10 1986
arron_afflalo   Oct 15 1985
josh_akognon   Feb 10 1986
cole_aldrich   Oct 31 1988
lamarcus_aldridge   Jul 19 1985
lavoy_allen   Feb 4 1989
ray_allen   Jul 20 1975
tony_allen   Jan 11 1982
al-farouq_aminu   Sep 21 1990
lou_amundson   Dec 7 1982
chris_andersen   Jul 7 1978
alan_anderson   Oct 16 1982
james_anderson   Mar 25 1989
ryan_j_anderson   May 6 1988
carmelo_anthony   May 29 1984
joel_anthony   Aug 9 1982
trevor_ariza   Jun 30 1985
darrell_arthur   Mar 25 1988
omer_asik   Jul 4 1986
dj_augustin   Nov 10 1987
gustavo_ayon   Apr 1 1985
luke_babbitt   Jun 20 1989
leandro_barbosa   Nov 28 1982
jose_barea   Jun 26 1984
andrea_bargnani   Oct 26 1985
harrison_barnes   May 30 1992
matt_barnes   Mar 9 1980
earl_barron   Aug 14 1981
will_barton   Jan 6 1991
brandon_bass   Apr 30 1985
shane_battier   Sep 9 1978
nicolas_batum   Dec 14 1988
jerryd_bayless   Aug 20 1988
aron_baynes   Dec 9 1986
kent_bazemore   Jul 1 1989
bradley_beal   Jun 28 1993
michael_beasley   Jan 9 1989
rodrigue_beaubois   Feb 24 1988
marco_belinelli   Mar 25 1986
patrick_beverley   Jul 12 1988
andris_biedrins   Apr 2 1986
chauncey_billups   Sep 25 1976
bismack_biyombo   Aug 28 1992
dejuan_blair   Apr 22 1989
steve_blake   Feb 26 1980
andray_blatche   Aug 22 1986
eric_bledsoe   Dec 9 1989
keith_bogans   May 12 1980
andrew_bogut   Nov 28 1984
matt_bonner   Apr 5 1980
trevor_booker   Nov 25 1987
carlos_boozer   Nov 20 1981
chris_bosh   Mar 24 1984
avery_bradley   Nov 26 1990
elton_brand   Mar 11 1979
corey_brewer   Mar 5 1986
ronnie_brewer   Mar 20 1985
aaron_brooks   Jan 14 1985
marshon_brooks   Jan 26 1989
kwame_brown   Mar 10 1982
shannon_brown   Nov 29 1985
kobe_bryant   Aug 23 1978
chase_budinger   May 22 1988
alec_burks   Jul 20 1991
caron_butler   Mar 13 1980
jimmy_butler   Sep 14 1989
andrew_bynum   Oct 27 1987
will_bynum   Jan 4 1983
jose_calderon   Sep 28 1981
marcus_camby   Mar 22 1974
demarre_carroll   Jul 27 1986
vince_carter   Jan 26 1977
omri_casspi   Jun 22 1988
mario_chalmers   May 19 1986
tyson_chandler   Oct 2 1982
wilson_chandler   May 10 1987
earl_clark   Jan 17 1988
victor_claver   Aug 30 1988
norris_cole   Oct 13 1988
jason_collins   Dec 2 1978
darren_collison   Aug 23 1987
nick_collison   Oct 26 1980
mike_conley   Oct 11 1987
daequan_cook   Apr 28 1987
chris_copeland   Mar 17 1984
demarcus_cousins   Aug 13 1990
jamal_crawford   Mar 20 1980
jordan_crawford   Oct 23 1988
jae_crowder   Jul 6 1990
dante_cunningham   Apr 22 1987
jared_cunningham   May 22 1991
stephen_curry   Mar 14 1988
samuel_dalembert   May 10 1981
marquis_daniels   Jan 7 1981
anthony_davis   Mar 11 1993
ed_davis   Jun 5 1989
glen_davis   Jan 1 1986
austin_daye   Jun 5 1988
nando_de_colo   Jun 23 1987
carlos_delfino   Aug 29 1982
luol_deng   Apr 16 1985
demar_derozan   Aug 7 1989
boris_diaw   Apr 16 1982
desagana_diop   Jan 30 1982
keyon_dooling   May 8 1980
toney_douglas   Mar 16 1986
goran_dragic   May 6 1986
andre_drummond   Aug 10 1993
jared_dudley   Jul 10 1985
chris_duhon   Aug 31 1982
tim_duncan   Apr 25 1976
mike_dunleavy   Sep 15 1980
kevin_durant   Sep 29 1988
devin_ebanks   Oct 28 1989
wayne_ellington   Nov 29 1987
monta_ellis   Oct 26 1985
kim_english   Sep 24 1988
jeremy_evans   Oct 24 1987
reggie_evans   May 18 1980
tyreke_evans   Sep 19 1989
festus_ezeli   Oct 21 1989
kenneth_faried   Nov 19 1989
derrick_favors   Jul 15 1991
raymond_felton   Jun 26 1984
landry_fields   Jun 27 1988
derek_fisher   Aug 9 1974
evan_fournier   Oct 29 1992
randy_foye   Sep 24 1983
jimmer_fredette   Feb 25 1989
joel_freeland   Feb 7 1987
channing_frye   May 17 1983
danilo_gallinari   Aug 8 1988
francisco_garcia   Dec 31 1980
kevin_garnett   May 19 1976
diante_garrett   Nov 3 1988
marc_gasol   Jan 29 1985
