season,, Guest_star,,  bday,, dday,, url
5,,Conan O'Brien,,1963,,-1,, http://en.wikipedia.org/wiki/Conan_O%27Brien
5,,Ernest Borgnine,,1917,,2012,, http://en.wikipedia.org/wiki/Ernest_Borgnine
5,,George Fenneman,,1919,,1997,, http://en.wikipedia.org/wiki/George_Fenneman
5,,George Harrison,,-1,,-1,, http://en.wikipedia.org/wiki/George_Harrison
5,,Gerry Cooney,,1956,,-1,, http://en.wikipedia.org/wiki/Gerry_Cooney
5,,James Brown,,1933,,2006,, http://en.wikipedia.org/wiki/James_Brown
5,,James Taylor,,1948,,-1,, http://en.wikipedia.org/wiki/James_Taylor
5,,James Woods,,1947,,-1,, http://en.wikipedia.org/wiki/James_Woods
5,,Kathleen Turner,,1954,,-1,, http://en.wikipedia.org/wiki/Kathleen_Turner
5,,Michelle Pfeiffer,,1958,,-1,, http://en.wikipedia.org/wiki/Michelle_Pfeiffer
5,,Ramones[H],,-1,,-1,, http://en.wikipedia.org/wiki/Ramones
5,,Robert Goulet,,1933,,2007,, http://en.wikipedia.org/wiki/Robert_Goulet
5,,Sam Neill,,-1,,-1,, http://en.wikipedia.org/wiki/Sam_Neill
5,,The Dapper Dans[G],,-1,,-1,, http://en.wikipedia.org/wiki/The_Dapper_Dans
5,,Werner Klemperer,,1920,,2000,, http://en.wikipedia.org/wiki/Werner_Klemperer
6,,Anne Bancroft,,1931,,2005,, http://en.wikipedia.org/wiki/Anne_Bancroft
6,,Dennis Franz,,1944,,-1,, http://en.wikipedia.org/wiki/Dennis_Franz
6,,Dick Cavett,,1936,,-1,, http://en.wikipedia.org/wiki/Dick_Cavett
6,,Dr. Demento,,1941,,-1,, http://en.wikipedia.org/wiki/Dr._Demento
6,,George Wendt,,1948,,-1,, http://en.wikipedia.org/wiki/George_Wendt
6,,Henry Corden,,1920,,2005,, http://en.wikipedia.org/wiki/Henry_Corden
6,,John Ratzenberger,,1947,,-1,, http://en.wikipedia.org/wiki/John_Ratzenberger
6,,Johnny Unitas,,1933,,2002,, http://en.wikipedia.org/wiki/Johnny_Unitas
6,,Mandy Patinkin,,1952,,-1,, http://en.wikipedia.org/wiki/Mandy_Patinkin
6,,Mel Brooks,,1926,,-1,, http://en.wikipedia.org/wiki/Mel_Brooks
6,,Meryl Streep,,1949,,-1,, http://en.wikipedia.org/wiki/Meryl_Streep
